sector,Carbon Footprint [kg CO2-eq.],Land footprint [km2],Material footprint [kt],Water footprint [Mm3],Energy footprint [TJ]
Natural Gas Liquids,0.0,0.0,0.0,0.0,0.0
Other Hydrocarbons,146.6717083040219,5.2708629245478596e-05,0.00043367831026383676,9.169817919531981e-07,0.019356429687315636
Uranium and thorium ores (12),0.0,0.0,0.0,0.0,0.0
Iron ores,5080891.33828711,1.3151172580709258,2136.576898212693,0.0195191960047536,406.5941032372739
Copper ores and concentrates,22043296.171713017,5.470453782352198,1376.1685027142532,0.0977239601294667,838.2561966845101
Nickel ores and concentrates,17873.52320851305,0.007653905735136227,0.03491080183729498,0.00012465246704564112,1.9442830077038105
Aluminium ores and concentrates,95505.75433281434,0.390778368016466,1.8765578189363135,0.006030697956343597,4.752029613494452
Precious metal ores and concentrates,54513480.7166069,10.544065003150505,1574.5071945236834,0.19403691051537503,1233.7472241010848
"Lead, zinc and tin ores and concentrates",13291427.275195593,12.22579974365918,1867.4417884391069,0.2277394602378664,624.1615853074936
Other non-ferrous metal ores and concentrates,97027.36667670481,0.12079733112785147,0.5533258208873317,0.0020357079076672945,5.666303901651492
Stone,14057175.714262279,32.44232529802179,2657.7045415269636,0.32734165634223283,977.4650765418319
Sand and clay,65965658.291896835,32.97627635369929,11060.802661013331,0.508876002826665,4175.05166891877
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",67015965.8788141,66.64713221607735,1721.6114220914988,0.3185117704713121,4907.518345527758
Products of meat cattle,1390456520.9306667,11318.052807964352,5832.034307480673,34.90999734490783,29260.977213184557
Products of meat pigs,281882381.9426187,647.2906600650022,653.0566740589135,8.280198054235646,20058.34305431006
Products of meat poultry,236149556.23002446,1032.1060705091224,513.965012310992,7.128437046565771,31726.493349060263
Meat products nec,422900152.03376245,2365.003347210282,1092.359471845987,15.49771122933668,73884.35679042422
products of Vegetable oils and fats,46015510.33225532,352.1680425841946,134.76804423620214,3.9408374589603268,3026.7280137724288
Dairy products,2463402033.174672,9524.501094547037,2677.2762495302327,25.2281723187964,72622.05334173917
Processed rice,78298524.18916059,139.2701086661583,95.23815901638068,12.65889207530105,1495.0953310858893
Sugar,53185048.74070749,371.9373285461995,744.6912854665414,4.365259322153885,7462.913316568214
Food products nec,3745398568.2471085,17278.782096120256,10300.40650341824,232.45825980418346,334011.72582709417
Beverages,359243984.32995474,1436.773398991102,961.0164928475335,18.237277191168758,29706.61233888624
Fish products,697135421.7332242,2254.538985138578,1407.0636677704238,36.24809231716266,34572.27542937912
Tobacco products (16),72026060.24658641,167.04551999335916,114.5964117323496,6.776464821343896,5324.252518206162
Textiles (17),1286471301.4263477,1343.9567171339227,2480.8371838272815,45.51171937717167,117366.25479285282
Wearing apparel; furs (18),1325976247.5314903,1627.0108962948827,2648.430952240415,43.33633524476881,118524.9724499074
Leather and leather products (19),862574007.7562659,947.0459953569103,1991.5529980999227,17.13094096340103,28895.04943544133
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),236117094.0417785,12719.466458585455,2096.9277615499805,2.0849886139543248,35830.21761016607
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0,0.0,0.0,0.0,0.0
Pulp,13758392.678351415,359.21907555470756,70.36911719733244,0.15867848989908107,5439.187710143764
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0,0.0,0.0,0.0,0.0
Paper and paper products,412124745.0572745,9422.096329815753,1974.3434222863425,9.710009890681157,75511.22537578204
Printed matter and recorded media (22),346536761.04165804,1457.099532913616,602.4823267127165,7.422580032334723,29266.497328859878
Coke Oven Coke,13784224.904370174,0.7670223086018174,7.583720382618676,0.00983522373294278,3633.110587789997
Gas Coke,0.0,0.0,0.0,0.0,0.0
Coal Tar,126.8918877757856,4.176698167506869e-05,0.00015664108561563918,7.56878738069165e-07,0.004374865936284489
Motor Gasoline,2621839443.529768,455.9810128543361,3447.354070394928,3.7763488733928496,696476.6952037814
Aviation Gasoline,66916.89386916075,0.010522420390572341,0.09414649539270303,0.00011542887838035381,16.92223856491263
Gasoline Type Jet Fuel,0.0,0.0,0.0,0.0,0.0
Kerosene Type Jet Fuel,24461416.67912162,7.9313023822346915,35.47197195612052,0.06307276686711862,5457.409236371264
Kerosene,9750.29449597761,0.7345478867642813,0.1203174466131355,9.280761178477298e-05,1.545975256723731
Gas/Diesel Oil,942591437.2726728,166.54832992547054,1176.858927613364,1.3044174331329275,243071.38388203585
Heavy Fuel Oil,8978285.032041308,1.57891635154357,10.521947110850375,0.011826156425927114,2186.115607622034
Refinery Gas,0.0,0.0,0.0,0.0,0.0
Liquefied Petroleum Gases (LPG),163551940.91111258,40.1945436078498,320.132772105222,0.39108794512835215,56838.08863891104
Refinery Feedstocks,0.02570249763218472,1.3556731685887588e-08,3.636741864966922e-08,2.443929311649437e-10,9.09449505656226e-06
Ethane,0.0,0.0,0.0,0.0,0.0
Naphtha,1573764.5300084737,0.6407333383056524,2.6434100698958547,0.00636103251820465,386.25718538145463
White Spirit & SBP,0.0,0.0,0.0,0.0,0.0
Lubricants,355368.1421648764,0.41301076471829123,1.4104063299518703,0.001854900262554371,27.77389281176989
Bitumen,2490083.059473049,0.6596102189676577,16.00119286298946,0.007143908221615912,517.1563402156676
Paraffin Waxes,0.0,0.0,0.0,0.0,0.0
Petroleum Coke,0.0,0.0,0.0,0.0,0.0
Non-specified Petroleum Products,0.0,0.0,0.0,0.0,0.0
Nuclear fuel,111297091.38546915,77.9434080215063,162.39736479430317,1.2656449286928027,1165180.2397844456
"Plastics, basic",173023797.3552004,84.80045904861294,357.3299183906999,2.99483218588706,33237.40836504078
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0,0.0,0.0,0.0,0.0
N-fertiliser,39754590.87085702,4.0930003507906605,11.980557472173421,4.224405300594711,1922.4235390590306
P- and other fertiliser,38695984.54539612,23.311198467337004,72.78783098778274,1.1165637268651039,2584.6777511923265
Chemicals nec,2524859748.803997,2934.7968969536178,7998.459482157726,68.66967100737403,240985.0525648155
Charcoal,4459.915942399495,0.0064055057042837725,0.006090333875213628,9.065453855615485e-05,0.24856532684274646
Additives/Blending Components,24708.604321153187,0.01937220005627641,0.052963637032823856,0.00023036488791199316,2.2256278312004247
Biogasoline,8457650.777599914,2.6330131109215964,4.227454155769822,0.065754260803295,2820.0124158656527
Biodiesels,2035152.3218321376,0.633838544977467,1.015119247334339,0.01582901264878184,678.6558487064634
Other Liquid Biofuels,977175.6315377197,0.3178703464408441,0.5523117212346124,0.007659691619010242,320.8920756743526
Rubber and plastic products (25),873736833.5194781,667.0435763378721,1236.806944549578,8.705561912756842,76269.4445885183
Glass and glass products,1542416.7467700562,0.638914970606503,10.004618268057708,0.010982093336379095,104.60224872063415
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0,0.0,0.0,0.0,0.0
Ceramic goods,273134196.9960275,143.88561005364156,1677.1902220670497,2.5731254851747423,21668.368320571644
"Bricks, tiles and construction products, in baked clay",755691.8340402675,0.11359840125442039,3.8816331960226176,0.0019991293485341816,36.34215976646509
"Cement, lime and plaster",9418078.926713686,1.6995280962650896,16.528282145492117,0.024632727307074203,327.400567189091
"Ash for treatment, Re-processing of ash into clinker",0.0,0.0,0.0,0.0,0.0
Other non-metallic mineral products,384317140.42733645,89.87146571387335,1836.3056124318214,1.8779529966828283,24186.196450647833
Basic iron and steel and of ferro-alloys and first products thereof,32498895.83566721,5.185122762834364,52.00576644475814,0.28790591288694417,2241.1381030581133
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0,0.0,0.0,0.0,0.0
Precious metals,2069753.4177231346,1.8290112272573098,6.234611742345296,0.0286003733625089,266.0562931689807
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0,0.0,0.0,0.0,0.0
